#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	77
Stop measure: 	0	Result: FORWARD
2	0.0236816	[0:0]	[2000000:2000000]
2	-0.00854492	[0:0]	[2000000:2000000]
2	-0.0119629	[0:0]	[2000000:2000000]
2	0.0224609	[0:0]	[2000000:2000000]
2	0.0461426	[0:0]	[2000000:2000000]
2	0.0424805	[0:0]	[2000000:2000000]
2	0.00585938	[0:0]	[2000000:2000000]
2	-0.0144043	[0:0]	[2000000:2000000]
2	0	[0:0]	[2000000:2000000]
2	0.0163574	[0:0]	[2000000:2000000]
2	0.0358887	[0:0]	[2000000:2000000]
2	0.0258789	[0:0]	[2000000:2000000]
2	-0.0102539	[0:0]	[2000000:2000000]
2	-0.00854492	[0:0]	[2000000:2000000]
2	0.00854492	[0:0]	[2000000:2000000]
2	0.0153809	[0:0]	[2000000:2000000]
2	0.0446777	[0:0]	[2000000:2000000]
2	0.0195312	[0:0]	[2000000:2000000]
2	-0.0114746	[0:0]	[2000000:2000000]
2	-0.0114746	[0:0]	[2000000:2000000]
2	0.0209961	[0:0]	[2000000:2000000]
result : Standing:|

3	0.0065918	[0:0]	[2000000:2000000]
3	0.00854492	[0:0]	[2000000:2000000]
3	-0.00878906	[0:0]	[2000000:2000000]
3	-0.0412598	[0:0]	[2000000:2000000]
3	-0.0449219	[0:0]	[2000000:2000000]
3	-0.0112305	[0:0]	[2000000:2000000]
3	0.015625	[0:0]	[2000000:2000000]
3	-0.325195	[-0.325195:0]	[7:2000000]
3	-0.346436	[-0.346436:0]	[8:2000000]
3	0.0742188	[-0.346436:0]	[8:2000000]
3	0.0695801	[-0.346436:0]	[8:2000000]
3	-0.0192871	[-0.346436:0]	[8:2000000]
3	-0.0131836	[-0.346436:0]	[8:2000000]
3	-0.00634766	[-0.346436:0]	[8:2000000]
3	-0.0529785	[-0.346436:0]	[8:2000000]
3	0.0551758	[-0.346436:0]	[8:2000000]
3	0.182861	[-0.346436:0]	[8:2000000]
3	0.0944824	[-0.346436:0]	[8:2000000]
3	0.151123	[-0.346436:0]	[8:2000000]
3	0.0585938	[-0.346436:0]	[8:2000000]
3	0.020752	[-0.346436:0]	[8:2000000]
3	-0.0285645	[-0.346436:0]	[8:2000000]
3	0.0200195	[-0.346436:0]	[8:2000000]
3	0.0500488	[-0.346436:0]	[8:2000000]
3	-0.0773926	[-0.346436:0]	[8:2000000]
3	-0.0141602	[-0.346436:0]	[8:2000000]
3	-0.0866699	[-0.346436:0]	[8:2000000]
3	-0.00146484	[-0.346436:0]	[8:2000000]
3	0.013916	[-0.346436:0]	[8:2000000]
3	-0.060791	[-0.346436:0]	[8:2000000]
3	-0.0473633	[-0.346436:0]	[8:2000000]
3	-0.0561523	[-0.346436:0]	[8:2000000]
3	-0.0153809	[-0.346436:0]	[8:2000000]
3	-0.00854492	[-0.346436:0]	[8:2000000]
3	-0.0197754	[-0.346436:0]	[8:2000000]
3	-0.0666504	[-0.346436:0]	[8:2000000]
3	-0.0632324	[-0.346436:0]	[8:2000000]
3	0.00390625	[-0.346436:0]	[8:2000000]
3	-0.0317383	[-0.346436:0]	[8:2000000]
3	0.00244141	[-0.346436:0]	[8:2000000]
3	-0.0620117	[-0.346436:0]	[8:2000000]
3	-0.0358887	[-0.346436:0]	[8:2000000]
3	-0.0117188	[-0.346436:0]	[8:2000000]
3	-0.0559082	[-0.346436:0]	[8:2000000]
3	-0.0100098	[-0.346436:0]	[8:2000000]
3	-0.0322266	[-0.346436:0]	[8:2000000]
3	-0.0505371	[-0.346436:0]	[8:2000000]
3	0.0332031	[-0.346436:0]	[8:2000000]
3	-0.029541	[-0.346436:0]	[8:2000000]
3	-0.00878906	[-0.346436:0]	[8:2000000]
3	0.00756836	[-0.346436:0]	[8:2000000]
3	-0.0432129	[-0.346436:0]	[8:2000000]
3	0.0471191	[-0.346436:0]	[8:2000000]
3	0.0253906	[-0.346436:0]	[8:2000000]
3	-0.0163574	[-0.346436:0]	[8:2000000]
3	0.00170898	[-0.346436:0]	[8:2000000]
3	-0.048584	[-0.346436:0]	[8:2000000]
3	0.026123	[-0.346436:0]	[8:2000000]
3	0.0090332	[-0.346436:0]	[8:2000000]
3	-0.0275879	[-0.346436:0]	[8:2000000]
3	-0.0163574	[-0.346436:0]	[8:2000000]
3	-0.0620117	[-0.346436:0]	[8:2000000]
3	0.0100098	[-0.346436:0]	[8:2000000]
3	0.0175781	[-0.346436:0]	[8:2000000]
3	-0.0300293	[-0.346436:0]	[8:2000000]
3	-0.0180664	[-0.346436:0]	[8:2000000]
3	-0.00244141	[-0.346436:0]	[8:2000000]
3	-0.013916	[-0.346436:0]	[8:2000000]
3	-0.00708008	[-0.346436:0]	[8:2000000]
3	0.0183105	[-0.346436:0]	[8:2000000]
3	-0.0195312	[-0.346436:0]	[8:2000000]
3	-0.0356445	[-0.346436:0]	[8:2000000]
3	-0.00585938	[-0.346436:0]	[8:2000000]
3	-0.0222168	[-0.346436:0]	[8:2000000]
3	-0.0090332	[-0.346436:0]	[8:2000000]
result : FORWARD:)

4	0.00146484	[0:0]	[2000000:2000000]
4	-0.010498	[0:0]	[2000000:2000000]
4	-0.0458984	[0:0]	[2000000:2000000]
4	-0.0129395	[0:0]	[2000000:2000000]
4	0.000244141	[0:0]	[2000000:2000000]
4	0.00976562	[0:0]	[2000000:2000000]
4	0.0307617	[0:0]	[2000000:2000000]
4	-0.0493164	[0:0]	[2000000:2000000]
4	0.0161133	[0:0]	[2000000:2000000]
4	-0.034668	[0:0]	[2000000:2000000]
4	0.0639648	[0:0]	[2000000:2000000]
4	-0.153564	[0:0]	[2000000:2000000]
4	0.314209	[0:0.314209]	[2000000:12]
4	0.290039	[0:0.314209]	[2000000:12]
4	-0.0146484	[0:0.314209]	[2000000:12]
4	0.0336914	[0:0.314209]	[2000000:12]
4	-0.0756836	[0:0.314209]	[2000000:12]
4	-0.0187988	[0:0.314209]	[2000000:12]
4	0.0791016	[0:0.314209]	[2000000:12]
4	-0.0153809	[0:0.314209]	[2000000:12]
4	0.0288086	[0:0.314209]	[2000000:12]
4	-0.0356445	[0:0.314209]	[2000000:12]
4	0.0202637	[0:0.314209]	[2000000:12]
4	-0.0263672	[0:0.314209]	[2000000:12]
4	-0.0129395	[0:0.314209]	[2000000:12]
4	-0.0239258	[0:0.314209]	[2000000:12]
4	0.010498	[0:0.314209]	[2000000:12]
4	-0.0124512	[0:0.314209]	[2000000:12]
4	0.00634766	[0:0.314209]	[2000000:12]
4	-0.0263672	[0:0.314209]	[2000000:12]
4	-0.0361328	[0:0.314209]	[2000000:12]
4	0.0324707	[0:0.314209]	[2000000:12]
4	-0.017334	[0:0.314209]	[2000000:12]
4	-0.010498	[0:0.314209]	[2000000:12]
4	-0.0217285	[0:0.314209]	[2000000:12]
4	-0.00512695	[0:0.314209]	[2000000:12]
4	-0.0322266	[0:0.314209]	[2000000:12]
4	0.0266113	[0:0.314209]	[2000000:12]
4	-0.0366211	[0:0.314209]	[2000000:12]
4	0.00976562	[0:0.314209]	[2000000:12]
4	-0.0471191	[0:0.314209]	[2000000:12]
4	-0.0241699	[0:0.314209]	[2000000:12]
4	0.00195312	[0:0.314209]	[2000000:12]
4	0.00512695	[0:0.314209]	[2000000:12]
4	-0.00341797	[0:0.314209]	[2000000:12]
4	-0.00952148	[0:0.314209]	[2000000:12]
4	-0.00610352	[0:0.314209]	[2000000:12]
4	-0.0339355	[0:0.314209]	[2000000:12]
4	-0.012207	[0:0.314209]	[2000000:12]
4	-0.00878906	[0:0.314209]	[2000000:12]
4	-0.00415039	[0:0.314209]	[2000000:12]
4	-0.0263672	[0:0.314209]	[2000000:12]
4	-0.0187988	[0:0.314209]	[2000000:12]
4	-0.0151367	[0:0.314209]	[2000000:12]
4	-0.0114746	[0:0.314209]	[2000000:12]
4	-0.00830078	[0:0.314209]	[2000000:12]
4	-0.00561523	[0:0.314209]	[2000000:12]
4	0.00219727	[0:0.314209]	[2000000:12]
4	-0.0219727	[0:0.314209]	[2000000:12]
4	-0.017334	[0:0.314209]	[2000000:12]
4	-0.00878906	[0:0.314209]	[2000000:12]
4	0.00195312	[0:0.314209]	[2000000:12]
4	-0.00537109	[0:0.314209]	[2000000:12]
4	0.000976562	[0:0.314209]	[2000000:12]
4	-0.0124512	[0:0.314209]	[2000000:12]
4	-0.00952148	[0:0.314209]	[2000000:12]
4	-0.00756836	[0:0.314209]	[2000000:12]
4	-0.00195312	[0:0.314209]	[2000000:12]
4	0.00341797	[0:0.314209]	[2000000:12]
