#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	0
Stop measure: 	77	Result: BACKWARD
1	-0.00488281	[0:0]	[2000000:2000000]
1	0.00878906	[0:0]	[2000000:2000000]
1	0.0090332	[0:0]	[2000000:2000000]
1	0.00756836	[0:0]	[2000000:2000000]
1	-0.00439453	[0:0]	[2000000:2000000]
1	0.0134277	[0:0]	[2000000:2000000]
1	-0.00463867	[0:0]	[2000000:2000000]
1	0.00488281	[0:0]	[2000000:2000000]
1	-0.0131836	[0:0]	[2000000:2000000]
1	-0.00708008	[0:0]	[2000000:2000000]
1	-0.0444336	[0:0]	[2000000:2000000]
1	0.0969238	[0:0]	[2000000:2000000]
1	0.0517578	[0:0]	[2000000:2000000]
1	-0.0151367	[0:0]	[2000000:2000000]
1	-0.102783	[0:0]	[2000000:2000000]
1	-0.0109863	[0:0]	[2000000:2000000]
1	-0.0141602	[0:0]	[2000000:2000000]
1	0.0185547	[0:0]	[2000000:2000000]
1	0.0236816	[0:0]	[2000000:2000000]
1	0.0395508	[0:0]	[2000000:2000000]
1	0.0166016	[0:0]	[2000000:2000000]
1	-0.0117188	[0:0]	[2000000:2000000]
1	-0.00390625	[0:0]	[2000000:2000000]
1	0.00341797	[0:0]	[2000000:2000000]
1	0.00732422	[0:0]	[2000000:2000000]
1	0.000732422	[0:0]	[2000000:2000000]
1	0.000488281	[0:0]	[2000000:2000000]
1	0.00976562	[0:0]	[2000000:2000000]
1	0.00390625	[0:0]	[2000000:2000000]
1	0.00976562	[0:0]	[2000000:2000000]
1	0.0126953	[0:0]	[2000000:2000000]
1	0.00561523	[0:0]	[2000000:2000000]
1	0.00366211	[0:0]	[2000000:2000000]
1	0.000244141	[0:0]	[2000000:2000000]
1	0.00878906	[0:0]	[2000000:2000000]
1	0.0090332	[0:0]	[2000000:2000000]
1	0.0100098	[0:0]	[2000000:2000000]
1	0.00146484	[0:0]	[2000000:2000000]
1	-0.00195312	[0:0]	[2000000:2000000]
1	0.00317383	[0:0]	[2000000:2000000]
1	0.0183105	[0:0]	[2000000:2000000]
1	0.0129395	[0:0]	[2000000:2000000]
1	0.00268555	[0:0]	[2000000:2000000]
1	0.0065918	[0:0]	[2000000:2000000]
1	0.000732422	[0:0]	[2000000:2000000]
1	0.00830078	[0:0]	[2000000:2000000]
1	-0.00146484	[0:0]	[2000000:2000000]
1	-0.00927734	[0:0]	[2000000:2000000]
1	0.00756836	[0:0]	[2000000:2000000]
1	0.00219727	[0:0]	[2000000:2000000]
1	0	[0:0]	[2000000:2000000]
1	-0.00537109	[0:0]	[2000000:2000000]
1	0.013916	[0:0]	[2000000:2000000]
1	0.00976562	[0:0]	[2000000:2000000]
1	0.00244141	[0:0]	[2000000:2000000]
1	-0.000976562	[0:0]	[2000000:2000000]
1	-0.00439453	[0:0]	[2000000:2000000]
1	-0.00244141	[0:0]	[2000000:2000000]
1	0.00634766	[0:0]	[2000000:2000000]
1	0.00878906	[0:0]	[2000000:2000000]
1	0.00195312	[0:0]	[2000000:2000000]
1	-0.00292969	[0:0]	[2000000:2000000]
1	-0.000976562	[0:0]	[2000000:2000000]
1	-0.00756836	[0:0]	[2000000:2000000]
1	0.0134277	[0:0]	[2000000:2000000]
1	-0.00805664	[0:0]	[2000000:2000000]
1	0.000732422	[0:0]	[2000000:2000000]
1	0.00390625	[0:0]	[2000000:2000000]
1	-0.00683594	[0:0]	[2000000:2000000]
1	-0.00537109	[0:0]	[2000000:2000000]
1	0.00708008	[0:0]	[2000000:2000000]
1	0.0187988	[0:0]	[2000000:2000000]
1	-0.00537109	[0:0]	[2000000:2000000]
1	0.000244141	[0:0]	[2000000:2000000]
1	-0.00146484	[0:0]	[2000000:2000000]
result : Standing:|

2	0.0153809	[0:0]	[2000000:2000000]
2	0.0117188	[0:0]	[2000000:2000000]
2	0.0222168	[0:0]	[2000000:2000000]
2	0.0065918	[0:0]	[2000000:2000000]
2	-0.000244141	[0:0]	[2000000:2000000]
2	0.00292969	[0:0]	[2000000:2000000]
2	-0.000488281	[0:0]	[2000000:2000000]
2	0.0358887	[0:0]	[2000000:2000000]
2	0.236816	[0:0]	[2000000:2000000]
2	0.0334473	[0:0]	[2000000:2000000]
2	-0.0771484	[0:0]	[2000000:2000000]
2	-0.0368652	[0:0]	[2000000:2000000]
2	0.0568848	[0:0]	[2000000:2000000]
2	0.0187988	[0:0]	[2000000:2000000]
2	0.0134277	[0:0]	[2000000:2000000]
2	-0.0102539	[0:0]	[2000000:2000000]
2	-0.0012207	[0:0]	[2000000:2000000]
2	0.10376	[0:0]	[2000000:2000000]
2	-0.0483398	[0:0]	[2000000:2000000]
2	0.0598145	[0:0]	[2000000:2000000]
2	0.0373535	[0:0]	[2000000:2000000]
2	-0.00488281	[0:0]	[2000000:2000000]
2	-0.029541	[0:0]	[2000000:2000000]
2	0.0358887	[0:0]	[2000000:2000000]
2	-0.00756836	[0:0]	[2000000:2000000]
2	0.0517578	[0:0]	[2000000:2000000]
2	-0.00195312	[0:0]	[2000000:2000000]
2	0.00341797	[0:0]	[2000000:2000000]
2	-0.0012207	[0:0]	[2000000:2000000]
2	0.020752	[0:0]	[2000000:2000000]
2	0.0126953	[0:0]	[2000000:2000000]
2	-0.00341797	[0:0]	[2000000:2000000]
2	-0.0183105	[0:0]	[2000000:2000000]
2	0.010498	[0:0]	[2000000:2000000]
2	0.017334	[0:0]	[2000000:2000000]
2	0.017334	[0:0]	[2000000:2000000]
2	0.000732422	[0:0]	[2000000:2000000]
2	-0.013916	[0:0]	[2000000:2000000]
2	0.0227051	[0:0]	[2000000:2000000]
2	-0.00878906	[0:0]	[2000000:2000000]
2	0.0200195	[0:0]	[2000000:2000000]
2	0.0310059	[0:0]	[2000000:2000000]
2	-0.00610352	[0:0]	[2000000:2000000]
2	-0.017334	[0:0]	[2000000:2000000]
