#syntax: iterationNumber, AccelX, minX, maxX, minIteration, maxIteration
Start measure: 	76
Stop measure: 	77	Result: BACKWARD
2	-0.114746	[-0.376465:0]	[28:2000000]
2	-0.111572	[-0.376465:0]	[28:2000000]
2	-0.095459	[-0.376465:0]	[28:2000000]
2	-0.124268	[-0.376465:0]	[28:2000000]
2	-0.117676	[-0.376465:0]	[28:2000000]
2	-0.122803	[-0.376465:0]	[28:2000000]
2	-0.130615	[-0.376465:0]	[28:2000000]
2	-0.114258	[-0.376465:0]	[28:2000000]
2	-0.123047	[-0.376465:0]	[28:2000000]
2	-0.117188	[-0.376465:0]	[28:2000000]
2	-0.113281	[-0.376465:0]	[28:2000000]
2	-0.126221	[-0.376465:0]	[28:2000000]
2	-0.117188	[-0.376465:0]	[28:2000000]
2	-0.0959473	[-0.376465:0]	[28:2000000]
2	-0.0961914	[-0.376465:0]	[28:2000000]
2	-0.122314	[-0.376465:0]	[28:2000000]
2	-0.138916	[-0.376465:0]	[28:2000000]
2	-0.125	[-0.376465:0]	[28:2000000]
2	-0.112305	[-0.376465:0]	[28:2000000]
2	-0.0822754	[-0.376465:0]	[28:2000000]
2	-0.0949707	[-0.376465:0]	[28:2000000]
2	-0.112793	[-0.376465:0]	[28:2000000]
result : FORWARD:)

3	0.00415039	[0:0]	[2000000:2000000]
3	0.012207	[0:0]	[2000000:2000000]
3	0.0454102	[0:0]	[2000000:2000000]
3	0.0256348	[0:0]	[2000000:2000000]
3	0.0212402	[0:0]	[2000000:2000000]
3	-0.00268555	[0:0]	[2000000:2000000]
3	-0.0012207	[0:0]	[2000000:2000000]
3	-0.177246	[0:0]	[2000000:2000000]
3	-0.390137	[-0.390137:0]	[8:2000000]
3	0.0717773	[-0.390137:0]	[8:2000000]
3	0.184326	[-0.390137:0]	[8:2000000]
3	0.264404	[-0.390137:0]	[8:2000000]
3	-0.248535	[-0.390137:0]	[8:2000000]
3	-0.104736	[-0.390137:0]	[8:2000000]
3	0.0180664	[-0.390137:0]	[8:2000000]
3	-0.141113	[-0.390137:0]	[8:2000000]
3	-0.0695801	[-0.390137:0]	[8:2000000]
3	-0.0842285	[-0.390137:0]	[8:2000000]
3	-0.0754395	[-0.390137:0]	[8:2000000]
3	0.0102539	[-0.390137:0]	[8:2000000]
3	-0.136963	[-0.390137:0]	[8:2000000]
3	-0.0351562	[-0.390137:0]	[8:2000000]
3	0.214355	[-0.390137:0]	[8:2000000]
3	0.280518	[-0.390137:0]	[8:2000000]
3	0.104248	[-0.390137:0]	[8:2000000]
3	0.151855	[-0.390137:0]	[8:2000000]
3	0.231689	[-0.390137:0]	[8:2000000]
3	0.215332	[-0.390137:0]	[8:2000000]
